name,manufacturer,category,engine_type,max_speed_kts,cruise_speed_kts,range_nm,fuel_capacity_gal,avg_fuel_consumption_gal_h,service_ceiling_ft,max_payload_kg,max_passengers,price_usd
Aero Vodochody L-39,Aero Vodochody,Jet trainer,Turbofan,405,340,590,290,250,37730,1100,2,300000
AeroElvira Optica,AeroElvira / Edgley,Observation,Piston,116,70,360,40,9,14000,250,3,250000
Air Tractor AT-802,Air Tractor,Agricultural / Firefighting,Turboprop,190,165,800,375,90,25000,4000,2,2000000
Airbus A310-300,Airbus,Wide-body airliner,Turbofan,484,459,5150,14580,1450,41000,33000,280,80000000
Airbus A320neo,Airbus,Narrow-body airliner,Turbofan,470,447,3500,7060,650,39800,20000,194,110600000
Airbus A321LR,Airbus,Narrow-body airliner,Turbofan,470,447,4000,8730,720,39800,25000,206,129500000
"Airbus A330 (-200, -300, 300P2F)",Airbus,Wide-body airliner,Turbofan,495,470,7250,36740,1700,41100,45000,440,259900000
Airbus A330-743L Beluga XL,Airbus,Outsize cargo,Turbofan,470,400,2200,36740,1750,35000,51000,4,250000000
Airbus A400M Atlas,Airbus,Military transport,Turboprop,422,290,3300,13050,1500,37000,37000,116,180000000
Airbus Helicopter H125,Airbus Helicopters,Light helicopter,Turboshaft,155,140,340,143,55,23000,1400,6,3500000
Airship Industries Skyship 600,Airship Industries,Airship,Piston,50,30,400,300,18,9000,2000,13,8000000
Archer Midnight,Archer Aviation,eVTOL air taxi,Electric,130,120,87,,,5000,450,5,5000000
Aviat Pitts Special S1S,Aviat Aircraft,Aerobatic,Piston,176,150,270,20,12,17000,100,1,90000
Aviat Pitts Special S2S,Aviat Aircraft,Aerobatic,Piston,180,155,280,29,14,18000,120,1,120000
Beechcraft Bonanza G36,Beechcraft,Light single,Piston,176,174,920,74,15,18500,400,6,950000
Beechcraft King Air 350i,Beechcraft,Twin turboprop,Turboprop,312,310,1800,539,120,35000,1700,11,8000000
Bell 407,Bell,Light helicopter,Turboshaft,140,133,330,127,50,18690,1200,7,3000000
CGS Hawk Arrow II,CGS Aviation,Ultralight,Piston,85,70,250,10,4,12000,200,2,30000
Cessna 152,Cessna,Trainer,Piston,110,107,415,26,6,14700,250,2,40000
Cessna 172 Skyhawk (G1000),Cessna,Light single,Piston,123,120,640,56,9,14000,400,4,430000
Cessna 208 B Grand Caravan EX,Cessna,Utility turboprop,Turboprop,185,185,960,335,55,25000,1700,14,2500000
Cessna 400 Corvalis TT,Cessna,Light single,Piston,235,230,1270,106,18,25000,500,4,620000
Cessna Citation CJ4,Cessna,Light business jet,Turbofan,451,451,2165,825,180,45000,1100,9,10000000
Cirrus Vision SF50 (VisionJet),Cirrus Aircraft,Light business jet,Turbofan,311,300,1275,296,70,31000,600,7,3000000
CubCrafters NX Cub,CubCrafters,Backcountry / STOL,Piston,140,130,700,50,11,20000,400,2,350000
CubCrafters XCub,CubCrafters,Backcountry / STOL,Piston,153,145,800,50,11,20000,450,2,400000
Curtiss JN-4 Jenny,Curtiss,Historic trainer,Piston,65,52,155,21,8,6500,250,2,300000
DG Aviation DG-1001E,DG Aviation,Motor glider,Electric,145,60,300,,,28000,200,2,200000
DG Aviation LS8-18,DG Aviation,Sailplane,None (glider),146,55,,,,30000,120,1,100000
Daher TBM 930,Daher,Single turboprop,Turboprop,330,330,1730,292,60,31000,700,6,4000000
De Havilland Canada CL-415,De Havilland Canada,Amphibious firefighter,Turboprop,190,180,1300,360,150,14600,6100,8,30000000
De Havilland Canada DHC-2 Beaver,De Havilland Canada,Bush plane,Piston,140,120,390,95,30,18000,900,7,500000
De Havilland Canada DHC-6 Twin Otter,De Havilland Canada,Twin turboprop,Turboprop,170,150,775,378,75,25000,1900,19,7000000
Diamond Aircraft DA40 NG,Diamond Aircraft,Light single,Piston (diesel),150,145,940,39,7,16400,350,4,500000
Diamond Aircraft DA62,Diamond Aircraft,Light twin,Piston (diesel),192,190,1280,86,15,20000,700,7,1400000
Douglas DC-3,Douglas,Historic airliner,Piston,200,150,1370,822,100,23200,3000,28,250000
Draco X,Mike Patey (custom),Bush plane / STOL,Turboprop,180,160,650,200,60,25000,800,4,1000000
EXTRA 330LT,Extra Aircraft,Aerobatic,Piston,220,170,500,40,18,16000,200,2,500000
Erickson S-64F Aircrane,Erickson,Heavy-lift helicopter,Turboshaft,110,90,200,1300,500,9000,11000,3,20000000
Fairchild Republic A-10 Thunderbolt II,Fairchild Republic,Attack aircraft,Turbofan,381,300,695,2350,700,45000,7260,1,18000000
Flight Design CTSL,Flight Design,Light sport,Piston,120,115,800,34,5,12500,250,2,170000
FlyDoo Hot Air Balloon,FlyDoo,Balloon,None (burner),,,,,,,400,4,30000
Grumman G-21A Goose,Grumman,Amphibious,Piston,175,165,550,220,55,21000,1000,7,1000000
Guimbal Cabri G2,Helicopteres Guimbal,Light helicopter,Piston,100,95,380,45,12,13000,250,2,400000
Heart Aerospace ES-30,Heart Aerospace,Hybrid-electric regional,Hybrid-electric,250,230,215,200,150,25000,3500,30,30000000
Hot Air Balloon,Generic,Balloon,None (burner),,,,,,,350,4,25000
Hughes Aircraft Company H-4 Hercules (Spruce Goose),Hughes,Historic flying boat,Piston,200,175,3000,14000,3000,20900,59000,750,
ICON Aircraft ICON A5,ICON Aircraft,Light sport amphibious,Piston,95,80,380,20,5,15000,200,2,390000
JMB Aircraft s.r.o VL-3,JMB Aircraft,Ultralight / LSA,Piston,160,150,800,29,5,18000,250,2,200000
Jetson Jetson One,Jetson,Personal eVTOL,Electric,54,40,10,,,1500,100,1,98000
Joby Aviation Joby S4,Joby Aviation,eVTOL air taxi,Electric,174,160,130,,,10000,450,5,1300000
MX Aircraft Company MXS-R,MX Aircraft,Aerobatic,Piston,220,180,500,40,17,16000,150,1,400000
Magni Gyro M-24 Orion,Magni Gyro,Gyrocopter,Piston,100,85,300,18,6,12000,200,2,90000
North American P-51 Mustang,North American Aviation,Historic fighter,Piston,380,315,1300,269,80,41900,500,1,2500000
North American T-6 Texan,North American Aviation,Historic trainer,Piston,180,145,730,110,35,24200,300,2,300000
Pilatus PC-12 NGX,Pilatus,Single turboprop,Turboprop,290,290,1800,402,75,30000,1200,10,5400000
Pilatus PC-6 B2,Pilatus,STOL turboprop,Turboprop,130,115,500,170,45,25000,1200,10,2000000
Powrachute Sky Rascal,Powrachute,Powered parachute,Piston,30,26,80,5,3,10000,150,2,15000
Robin Aircraft SAS CAP 10,Robin Aircraft,Aerobatic,Piston,145,135,650,38,12,16000,200,2,250000
Robin Aircraft SAS DR400-100 Cadet,Robin Aircraft,Light single,Piston,120,110,700,29,7,14000,300,4,200000
Robinson R66,Robinson Helicopter,Light helicopter,Turboshaft,140,110,350,74,25,14000,550,5,1000000
Ryan NYP 'Spirit of St. Louis',Ryan Airlines,Historic,Piston,105,87,3600,450,9,16400,200,1,
Stemme S12G,Stemme,Motor glider,Piston,145,90,800,30,6,30000,200,2,300000
The Boeing Company 737 MAX 8,Boeing,Narrow-body airliner,Turbofan,473,453,3550,6820,650,41000,20000,210,121600000
The Boeing Company 747-8I (-8F),Boeing,Wide-body airliner,Turbofan,523,490,7730,63034,3500,43100,140000,467,418400000
The Boeing Company F/A-18E,Boeing,Fighter,Turbofan,917,560,1275,3300,800,50000,8050,1,70000000
Volocopter VoloCity,Volocopter,eVTOL air taxi,Electric,60,50,19,,,6500,200,2,400000
Wright Cycle Company Wright Flyer,Wright Brothers,Historic,Piston,26,20,1,1,1,30,80,1,
Zivko Edge 540,Zivko Aeronautics,Aerobatic / racing,Piston,230,180,600,40,18,16000,200,2,300000
Zlin Aviation Savage Cub,Zlin Aviation,Light sport,Piston,95,85,400,16,5,14000,250,2,100000
