Category,Manufacturer,Model,Engine_Type,Seats,Cruise_Speed_KTAS,Range_NM,Service_Ceiling_FT,Max_Takeoff_Weight_LB,Approx_IRL_Price_USD,Edition
Airplane,Cessna,172 Skyhawk,Piston,4.0,122.0,640.0,14000.0,2550.0,450000.0,Estimé (Inclus: Édition Standard)
Airplane,Cessna,208B Grand Caravan,Turboprop,14.0,186.0,964.0,25000.0,8750.0,2800000.0,Estimé (Inclus: Édition Standard)
Airplane,Beechcraft,Bonanza G36,Piston,6.0,176.0,920.0,18000.0,3650.0,1100000.0,Estimé (Inclus: Édition Standard)
Airplane,Cirrus,SR22,Piston,5.0,213.0,1200.0,25000.0,3600.0,1050000.0,Estimé (Inclus: Édition Standard)
Airplane,Pilatus,PC-24,Jet,10.0,440.0,2000.0,45000.0,18300.0,13000000.0,Estimé (Inclus: Édition Standard)
Airplane,Boeing,737 MAX 8,Jet,210.0,453.0,3550.0,41000.0,181200.0,121000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A320neo,Jet,194.0,447.0,3400.0,39000.0,174200.0,110000000.0,Estimé (Inclus: Édition Standard)
Helicopter,Airbus Helicopters,H125,Turboshaft,6.0,133.0,340.0,23000.0,4960.0,3200000.0,Estimé (Inclus: Édition Standard)
Helicopter,Bell,407,Turboshaft,7.0,133.0,337.0,20000.0,5250.0,3800000.0,Estimé (Inclus: Édition Standard)
Helicopter,Robinson,R66,Turboshaft,5.0,110.0,325.0,14000.0,2700.0,1100000.0,Estimé (Inclus: Édition Standard)
Helicopter,Boeing,CH-47D Chinook,Turboshaft,33.0,160.0,400.0,20000.0,50000.0,38000000.0,Estimé (Inclus: Édition Standard)
Helicopter,Airbus Helicopters,H225,Turboshaft,19.0,150.0,460.0,20000.0,24500.0,27000000.0,Estimé (Inclus: Édition Standard)
Airplane,Aero Vodochody,L-39,Jet,2.0,405.0,540.0,36000.0,10360.0,250000.0,Estimé (Inclus: Édition Standard)
Airplane,AeroElvira,Optica,Piston,3.0,113.0,560.0,14000.0,2890.0,150000.0,Estimé (Inclus: Édition Standard)
